11:34:44.698
Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Total Thrust (N),RPM48,Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546,Accel_Location,Accel_X,Accel_Y,Accel_Z
2025-07-21 11:34:51.888,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.048,-0.012,-1.033
2025-07-21 11:34:51.938,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.075,0.029,-0.982
2025-07-21 11:34:51.989,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.054,0.001,-1.024
2025-07-21 11:34:52.039,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.022,0.018,-1.016
2025-07-21 11:34:52.090,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.053,-0.013,-0.991
2025-07-21 11:34:52.140,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.082,-0.015,-1.003
2025-07-21 11:34:52.191,-24.81,0.67,0.28,0.0,-27.91,-273.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.059,-0.021,-1.048
2025-07-21 11:34:52.241,-24.81,0.69,0.28,0.0,-27.89,-273.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.082,-0.017,-1.045
2025-07-21 11:34:52.292,-24.81,0.69,0.28,0.0,-27.89,-273.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.073,0.0,-1.012
2025-07-21 11:34:52.343,-24.81,0.69,0.28,0.0,-27.89,-273.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RPi2,-0.051,-0.024,-0.975
